ID_Llamada;Tiempo_Espera_Min;Intervalo;;;
1;8,4;5–10;;Varianza;38,21471789
2;5,4;5–10;;;
3;5,0;0–5;;;
4;5,0;0–5;;;
5;15,9;15–20;;;
6;10,0;5–10;;;
7;4,1;0–5;;;
8;8,7;5–10;;;
9;7,1;5–10;;;
10;0,9;0–5;;;
11;2,5;0–5;;;
12;7,5;5–10;;;
13;14,9;10–15;;;
14;5,0;0–5;;;
15;3,9;0–5;;;
16;6,5;5–10;;;
17;3,7;0–5;;;
18;4,8;0–5;;;
19;5,9;5–10;;;
20;2,4;0–5;;;
21;10,3;10–15;;;
22;2,1;0–5;;;
23;1,8;0–5;;;
24;6,9;5–10;;;
25;9,8;5–10;;;
26;6,8;5–10;;;
27;5,5;5–10;;;
28;4,8;0–5;;;
29;4,2;0–5;;;
30;11,9;10–15;;;
31;7,5;5–10;;;
32;4,4;0–5;;;
33;3,5;0–5;;;
34;9,1;5–10;;;
35;11,7;10–15;;;
36;11,0;10–15;;;
37;3,0;0–5;;;
38;4,7;0–5;;;
39;4,1;0–5;;;
40;5,2;5–10;;;
41;10,3;10–15;;;
42;14,1;10–15;;;
43;7,7;5–10;;;
44;3,6;0–5;;;
45;5,8;5–10;;;
46;15,8;15–20;;;
47;6,4;5–10;;;
48;4,8;0–5;;;
49;5,1;5–10;;;
50;7,7;5–10;;;
51;3,1;0–5;;;
52;4,0;0–5;;;
53;10,9;10–15;;;
54;7,5;5–10;;;
55;6,4;5–10;;;
56;11,3;10–15;;;
57;3,4;0–5;;;
58;4,7;0–5;;;
59;7,4;5–10;;;
60;7,2;5–10;;;
61;1,7;0–5;;;
62;4,3;0–5;;;
63;5,3;5–10;;;
64;7,9;5–10;;;
65;7,2;5–10;;;
66;5,7;5–10;;;
67;0,9;0–5;;;
68;5,9;5–10;;;
69;6,2;5–10;;;
70;24,5;20–25;;;
71;5,2;5–10;;;
72;7,4;5–10;;;
73;12,5;10–15;;;
74;9,9;5–10;;;
75;14,4;10–15;;;
76;1,7;0–5;;;
77;2,6;0–5;;;
78;3,8;0–5;;;
79;1,4;0–5;;;
80;6,3;5–10;;;
81;2,8;0–5;;;
82;15,6;15–20;;;
83;3,2;0–5;;;
84;4,7;0–5;;;
85;10,3;10–15;;;
86;2,0;0–5;;;
87;1,3;0–5;;;
88;6,8;5–10;;;
89;7,2;5–10;;;
90;10,1;10–15;;;
91;8,6;5–10;;;
92;7,4;5–10;;;
93;3,5;0–5;;;
94;7,0;5–10;;;
95;7,3;5–10;;;
96;3,4;0–5;;;
97;18,4;15–20;;;
98;8,3;5–10;;;
99;2,6;0–5;;;
100;10,1;10–15;;;
101;11,3;10–15;;;
102;8,0;5–10;;;
103;5,0;0–5;;;
104;3,2;0–5;;;
105;5,6;5–10;;;
106;7,6;5–10;;;
107;6,0;5–10;;;
108;14,8;10–15;;;
109;9,1;5–10;;;
110;3,0;0–5;;;
111;2,4;0–5;;;
112;8,3;5–10;;;
113;5,0;0–5;;;
114;9,7;5–10;;;
115;8,3;5–10;;;
116;5,7;5–10;;;
117;3,0;0–5;;;
118;1,5;0–5;;;
119;7,0;5–10;;;
120;2,0;0–5;;;
121;2,9;0–5;;;
122;6,7;5–10;;;
123;6,2;5–10;;;
124;2,2;0–5;;;
125;12,1;10–15;;;
126;11,9;10–15;;;
127;8,5;5–10;;;
128;8,5;5–10;;;
129;8,5;5–10;;;
130;11,2;10–15;;;
131;9,3;5–10;;;
132;3,2;0–5;;;
133;5,0;0–5;;;
134;22,9;20–25;;;
135;1,0;0–5;;;
136;4,1;0–5;;;
137;12,1;10–15;;;
138;3,4;0–5;;;
139;9,5;5–10;;;
140;6,2;5–10;;;
141;3,6;0–5;;;
142;0,8;0–5;;;
143;6,8;5–10;;;
144;3,1;0–5;;;
145;5,5;5–10;;;
146;8,5;5–10;;;
147;10,6;10–15;;;
148;4,1;0–5;;;
149;3,5;0–5;;;
150;2,0;0–5;;;
151;11,0;10–15;;;
152;20,9;20–25;;;
153;11,7;10–15;;;
154;13,4;10–15;;;
155;3,4;0–5;;;
156;8,1;5–10;;;
157;20,7;20–25;;;
158;0,2;0–5;;;
159;2,5;0–5;;;
160;33,3;30–35;;;
161;1,6;0–5;;;
162;14,8;10–15;;;
163;1,6;0–5;;;
164;2,6;0–5;;;
165;8,2;5–10;;;
166;6,3;5–10;;;
167;4,4;0–5;;;
168;15,9;15–20;;;
169;2,0;0–5;;;
170;5,3;5–10;;;
171;8,9;5–10;;;
172;7,3;5–10;;;
173;3,6;0–5;;;
174;3,7;0–5;;;
175;10,5;10–15;;;
176;10,8;10–15;;;
177;7,4;5–10;;;
178;3,0;0–5;;;
179;3,8;0–5;;;
180;5,9;5–10;;;
181;6,5;5–10;;;
182;8,7;5–10;;;
183;5,1;5–10;;;
184;10,4;10–15;;;
185;10,3;10–15;;;
186;13,7;10–15;;;
187;6,1;5–10;;;
188;7,5;5–10;;;
189;5,4;5–10;;;
190;3,1;0–5;;;
191;20,6;20–25;;;
192;12,6;10–15;;;
193;10,1;10–15;;;
194;5,9;5–10;;;
195;2,8;0–5;;;
196;11,3;10–15;;;
197;5,4;5–10;;;
198;8,0;5–10;;;
199;3,8;0–5;;;
200;7,1;5–10;;;
201;4,0;0–5;;;
202;4,1;0–5;;;
203;7,0;5–10;;;
204;1,6;0–5;;;
205;1,7;0–5;;;
206;3,4;0–5;;;
207;5,1;5–10;;;
208;10,6;10–15;;;
209;5,3;5–10;;;
210;5,9;5–10;;;
211;4,8;0–5;;;
212;7,5;5–10;;;
213;3,0;0–5;;;
214;5,5;5–10;;;
215;7,9;5–10;;;
216;7,0;5–10;;;
217;6,0;5–10;;;
218;6,1;5–10;;;
219;8,4;5–10;;;
220;21,2;20–25;;;
221;3,2;0–5;;;
222;21,6;20–25;;;
223;21,0;20–25;;;
224;0,7;0–5;;;
225;4,0;0–5;;;
